T,E
1.3886793566638462,-512.0
1.3130062404705285,-512.0
1.054641145557279,-504.0
1.3510010905551857,-504.0
1.3588195738207838,-512.0
1.2862065749793188,-504.0
1.1467968788833418,-512.0
1.090463326115434,-512.0
1.3043705644491235,-500.0
1.0983710903753157,-512.0
1.2767897003289979,-512.0
1.2764491270322307,-512.0
1.0659111088932605,-512.0
1.0640568163377728,-512.0
1.3309582573634475,-512.0
1.432786269660514,-492.0
1.0698984990638287,-512.0
1.0236870100027409,-512.0
1.0596087630988724,-512.0
1.3029625888238638,-416.0
1.2189520185993765,-424.0
1.2043915547143484,-512.0
1.215709097589945,-512.0
1.4112915453087158,-512.0
1.4761248579228416,-496.0
1.4744289633576702,-496.0
1.328931642520264,-512.0
1.0452203634920663,-512.0
1.2453534971772604,-504.0
1.080635889516801,-512.0
1.2573146710581748,-512.0
1.1365935957504383,-512.0
1.4965422909652533,-488.0
1.2677173949150016,-504.0
1.094160987405676,-512.0
1.2404552141500393,-512.0
1.3342014808952358,-512.0
1.2370663375450852,-512.0
1.379211118592377,-504.0
1.493315772462161,-504.0
1.4553191135654426,-496.0
1.0553147337811017,-512.0
1.4189901093276915,-496.0
1.0672761042065735,-512.0
1.2325070659946364,-420.0
1.4897853402932963,-492.0
1.1637477822062727,-512.0
1.3675647137598168,-496.0
1.1937391895150873,-512.0
1.3611796752982253,-496.0
1.4513011982719208,-512.0
1.465618117845051,-500.0
1.4290626523124117,-504.0
1.2772923935079175,-512.0
1.1581070759120216,-512.0
1.4486510998770468,-504.0
1.415556336062453,-512.0
1.4700095054037574,-504.0
1.277730855068882,-492.0
1.3990487179091664,-412.0
1.260115033522997,-512.0
1.459220947757777,-496.0
1.3465477134648507,-512.0
1.418152145275119,-512.0
1.3725940641644223,-512.0
1.2433291654190801,-512.0
1.0982173328572866,-428.0
1.4702972048477592,-504.0
1.2217070994136656,-496.0
1.2309386151256936,-512.0
1.0827658613676392,-512.0
1.1551673369620372,-512.0
1.3314321063817913,-496.0
1.1141264377317102,-512.0
1.297216831878226,-512.0
1.348684014529682,-492.0
1.2329925764906138,-512.0
1.2828859502159604,-512.0
1.3668767487189581,-512.0
1.0670473049363827,-512.0
1.4432787810859347,-484.0
1.0413649999612193,-512.0
1.151975049031306,-512.0
1.086497222595797,-512.0
1.4004420880425483,-504.0
1.22945788776917,-512.0
1.4287860720612788,-512.0
1.244751003253604,-408.0
1.188602991441502,-512.0
1.0036811348755028,-512.0
1.140305718066828,-512.0
1.3498879722945332,-512.0
1.3438325245830463,-512.0
1.1271317418770788,-512.0
1.231399682796758,-480.0
1.4181225884213007,-512.0
1.0200756497735333,-512.0
1.081875652129148,-504.0
1.2647710276425361,-512.0
1.3996223582560332,-512.0
1.186828864436855,-512.0
1.1164261424718531,-512.0
1.293822286088856,-504.0
1.2997967207613061,-504.0
1.3030079103500054,-512.0
1.3730071401217232,-512.0
